Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
61.08.91-61.08.99,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.91 through 61.08.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.09-61.11,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.09 through 61.11 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.12 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.12.11-61.12.19,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.12.11 through 61.12.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.12.20,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.12.20 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) with respect to a garment described in heading 61.01, 61.02, 62.01 or 62.02, of wool, fine animal hair, cotton or man-made fibres, imported as part of a ski-suit of this subheading, the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.12.31-61.12.49,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.12.31 through 61.12.49 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.13-61.17,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.13 through 61.17 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
Chapter 62,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted",,0
62.01.11-62.01.13,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.01.11 through 62.01.13 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.01.19,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.01.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.01.91-62.01.93,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.01.91 through 62.01.93 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.01.99,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.01.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.02.11-62.02.13,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.02.11 through 62.02.13 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.02.19,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.02.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.02.91-62.02.93,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.02.91 through 62.02.93 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.02.99,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.02.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.03.11-62.03.12,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.03.11 through 62.03.12 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.03.19.aa,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to tariff item 62.03.19.aa from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.03.19,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.03.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.03.22-62.03.29,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.03.22 through 62.03.29 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) with respect to a garment described in heading 62.01 or a jacket or a blazer described in heading 62.03, of wool, fine animal hair, cotton or man-made fibre, imported as part of an ensemble of these subheadings, the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.03.31-62.03.33,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.03.31 through 62.03.33 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.03.39.aa,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to tariff item 62.03.39.aa from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.03.39,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.03.39 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.03.41-62.03.49,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.03.41 through 62.03.49 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
62.04.11-62.04.13,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.04.11 through 62.04.13 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that: (a) the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 62 satisfies the tariff change requirements provided therein.",0
62.04.19.aa,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to tariff item 62.04.19.aa from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties",0
