Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
71.09,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",A change to heading 71.09 from any other chapter,,,0
71.10.11-71.10.49,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)","A change to subheading 71.10.11 through 71.10.49 from any other subheading, including another subheading within that group",,,0
71.11,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",A change to heading 71.11 from any other chapter,,,0
71.12,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",A change to heading 71.12 from any other heading,,,0
71.13-71.18,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",A change to heading 71.13 through 71.18 from any heading outside that group,,,0
Chapter 72,Iron and Steel,,,,0
72.01,Iron and Steel,A change to heading 72.01 from any other chapter,,,0
72.02.11-72.02.60,Iron and Steel,A change to subheading 72.02.11 through 72.02.60 from any other chapter,,,0
72.02.70,Iron and Steel,"A change to subheading 72.02.70 from any other chapter, except from subheading 26.13.10",,,0
72.02.80-72.02.99,Iron and Steel,A change to subheading 72.02.80 through 72.02.99 from any other chapter,,,0
72.03-72.05,Iron and Steel,A change to heading 72.03 through 72.05 from any other chapter,,,0
72.06-72.07,Iron and Steel,A change to heading 72.06 through 72.07 from any heading outside that group,,,0
72.08-72.16,Iron and Steel,A change to heading 72.08 through 72.16 from any heading outside that group,,,0
72.17,Iron and Steel,"A change to heading 72.17 from any other heading, except from heading 72.13 through 72.15",,,0
72.18-72.22,Iron and Steel,A change to heading 72.18 through 72.22 from any heading outside that group,,,0
72.23,Iron and Steel,"A change to heading 72.23 from any other heading, except from heading 72.21 through 72.22",,,0
72.24-72.28,Iron and Steel,A change to heading 72.24 through 72.28 from any heading outside that group,,,0
72.29,Iron and Steel,"A change to heading 72.29 from any other heading, except from heading 72.27 through 72.28",,,0
Chapter 73,Articles of Iron or Steel,,,,0
73.01-73.03,Articles of Iron or Steel,A change to heading 73.01 through 73.03 from any other chapter,,,0
73.04.11-73.04.39,Articles of Iron or Steel,A change to subheading 73.04.11 through 73.04.39 from any other chapter,,,0
73.04.41.aa,Articles of Iron or Steel,A change to tariff item 73.04.41.aa from subheading 73.04.49 or any other chapter,,,0
73.04.41,Articles of Iron or Steel,A change to subheading 73.04.41 from any other chapter,,,0
73.04.49-73.04.90,Articles of Iron or Steel,A change to subheading 73.04.49 through 73.04.90 from any other chapter,,,0
73.05-73.07,Articles of Iron or Steel,A change to heading 73.05 through 73.07 from any other chapter,,,0
73.05-73.07,Articles of Iron or Steel,"A change to heading 73.05 through 73.07 from any other heading, except from heading 72.08 through 72.29 or 73.01 through 73.26","A change to heading 73.05 through 73.07 from heading 72.08 through 72.29 or 73.01 through 73.26, provided that at least 70 percent by weight of the materials of heading 72.08 through 72.29 and heading 73.01 through 73.26 is originating","No required change in tariff classification to heading 73.05 through 73.07, provided there is a regional value content of not less than: (a) 75 percent where the transaction value method is used; or (b) 65 percent where the net cost method is used.",1
73.08.10,Articles of Iron or Steel,"A change to subheading 73.08.10 from any other heading, except for changes resulting from the following processes performed on angles, shapes, or sections of heading 72.16: (a) drilling, punching, notching, cutting, cambering, or sweeping, whether performed individually or in combination; (b) adding attachments or weldments for composite construction; (c) adding attachments for handling purposes; (d) adding weldments, connectors or attachments to H-sections or I-sections, provided that the maximum dimension of the weldments, connectors, or attachments is not greater than the dimension between the inner surfaces of the flanges of the H-sections or I-sections; (e) painting, galvanizing, or otherwise coating; or (f) adding a simple base plate without stiffening elements, individually or in combination with drilling, punching, notching, or cutting, to create an article suitable as a column.",,,0
73.08.10,Articles of Iron or Steel,"A change to subheading 73.08.10 from any other heading, except from heading 72.08, 72.11, 72.16, 72.25 or 72.26","A change to subheading 73.08.10 from heading 72.08, 72.11, 72.16, 72.25 or 72.26, provided that at least 70 percent by weight of the materials of heading 72.08, 72.11, 72.16, 72.25 and 72.26 is originating",No required change in tariff classification to subheading 73.08.10 provided there is a regional value content of not less than: (a) 75 percent where the transaction value method is used; or (b) 65 percent where the net cost method is used.,1
73.08.20,Articles of Iron or Steel,"A change to subheading 73.08.20 from any other heading, except for changes resulting from the following processes performed on angles, shapes, or sections of heading 72.16: (a) drilling, punching, notching, cutting, cambering, or sweeping, whether performed individually or in combination; (b) adding attachments or weldments for composite construction; (c) adding attachments for handling purposes; (d) adding weldments, connectors or attachments to H-sections or I-sections, provided that the maximum dimension of the weldments, connectors, or attachments is not greater than the dimension between the inner surfaces of the flanges of the H-sections or I-sections; (e) painting, galvanizing, or otherwise coating; or (f) adding a simple base plate without stiffening elements, individually or in combination with drilling, punching, notching, or cutting, to create an article suitable as a column.",,,0
73.08.20,Articles of Iron or Steel,"A change to subheading 73.08.20 from any other heading, except from heading 72.08, 72.11, 72.16, 72.25 or 72.26","A change to subheading 73.08.20 from heading 72.08, 72.11, 72.16, 72.25, or 72.26, provided that at least 70 percent by weight of the materials of heading 72.08, 72.11, 72.16, 72.25and 72.26 is originating",No required change in tariff classification to subheading 73.08.20 provided there is a regional value content of not less than: (a) 65 percent where the transaction value method is used; or (b) 55 percent where the net cost method is used.,1
73.08.30,Articles of Iron or Steel,"A change to subheading 73.08.30 from any other heading, except for changes resulting from the following processes performed on angles, shapes, or sections of heading 72.16: (a) drilling, punching, notching, cutting, cambering, or sweeping, whether performed individually or in combination; (b) adding attachments or weldments for composite construction; (c) adding attachments for handling purposes; (d) adding weldments, connectors or attachments to H-sections or I-sections, provided that the maximum dimension of the weldments, connectors, or attachments is not greater than the dimension between the inner surfaces of the flanges of the H-sections or I-sections; (e) painting, galvanizing, or otherwise coating; or (f) adding a simple base plate without stiffening elements, individually or in combination with drilling, punching, notching, or cutting, to create an article suitable as a column.",,,0
73.08.30,Articles of Iron or Steel,"A change to subheading 73.08.30 from any other heading, except from heading 72.08, 72.11, 72.16, 72.25 or 72.26","A change to subheading 73.08.30 from heading 72.08, 72.11, 72.16, 72.25, or 72.26, provided that at least 70 percent by weight of the materials of heading 72.08, 72.11, 72.16, 72.25 and 72.26 is originating",No required change in tariff classification to subheading 73.08.30 provided there is a regional value content of not less than: (a) 75 percent where the transaction value method is used; or (b) 65 percent where the net cost method is used.,1
73.08.40,Articles of Iron or Steel,"A change to subheading 73.08.40 from any other heading, except for changes resulting from the following processes performed on angles, shapes, or sections of heading 72.16: (a) drilling, punching, notching, cutting, cambering, or sweeping, whether performed individually or in combination; (b) adding attachments or weldments for composite construction; (c) adding attachments for handling purposes; (d) adding weldments, connectors or attachments to H-sections or I-sections, provided that the maximum dimension of the weldments, connectors, or attachments is not greater than the dimension between the inner surfaces of the flanges of the H-sections or I-sections; (e) painting, galvanizing, or otherwise coating; or (f) adding a simple base plate without stiffening elements, individually or in combination with drilling, punching, notching, or cutting, to create an article suitable as a column.",,,0
73.08.40,Articles of Iron or Steel,"A change to subheading 73.08.40 from any other heading, except from heading 72.08, 72.11, 72.16, 72.25 or 72.26","A change to subheading 73.08.40 from heading 72.08, 72.11, 72.16, 72.25, or 72.26, provided that at least 70 percent by weight of the materials of heading 72.08, 72.11, 72.16, 72.25 and 72.26 is originating",No required change in tariff classification to subheading 73.08.40 provided there is a regional value content of not less than: (a) 65 percent where the transaction value method is used; or (b) 55 percent where the net cost method is used.,1
73.08.90,Articles of Iron or Steel,"A change to subheading 73.08.90 from any other heading, except for changes resulting from the following processes performed on angles, shapes, or sections of heading 72.16: (a) drilling, punching, notching, cutting, cambering, or sweeping, whether performed individually or in combination; (b) adding attachments or weldments for composite construction; (c) adding attachments for handling purposes; (d) adding weldments, connectors or attachments to H-sections or I-sections, provided that the maximum dimension of the weldments, connectors, or attachments is not greater than the dimension between the inner surfaces of the flanges of the H-sections or I-sections; (e) painting, galvanizing, or otherwise coating; or (f) adding a simple base plate without stiffening elements, individually or in combination with drilling, punching, notching, or cutting, to create an article suitable as a column.",,,0
73.08.90,Articles of Iron or Steel,"A change to subheading 73.08.90 from any other heading, except from heading 72.08, 72.11, 72.16, 72.25 or 72.26","A change to subheading 73.08.90 from heading 72.08, 72.11, 72.16, 72.25, or 72.26, provided that at least 70 percent by weight of the materials of heading 72.08, 72.11, 72.16, 72.25 and 72.26 is originating",No required change in tariff classification to subheading 73.08.90 provided there is a regional value content of not less than 65 percent where the net cost method is used.,1
